,Unnamed: 0,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,LOCATION,Cross Street,LAT,LON,num_offenses,HOUR,WEEKDAY
10,358407,212117979,12/26/2021 0:00,2021-12-25,1600,21,Topanga,2177,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1275 0311,46,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,20300    CLARK                        ST,,34.1716,-118.5757,1,16,Saturday
11,825019,230612877,7/23/2023 0:00,2023-07-23,140,6,Hollywood,637,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 2004 1300 1307 0329,21,F,H,101.0,STREET,,,AA,Adult Arrest,5900    HOLLYWOOD                    BL,,34.103,-118.3225,1,1,Sunday
12,189609,201311126,5/17/2020 0:00,2020-05-17,1320,13,Newton,1383,2,886,DISTURBING THE PEACE,0601 0334,43,M,H,108.0,PARKING LOT,511.0,VERBAL THREAT,IC,Invest Cont,5900 S  BROADWAY,,33.9867,-118.2783,1,13,Sunday
13,607518,220614777,8/17/2022 0:00,2022-08-17,1615,6,Hollywood,648,2,624,BATTERY - SIMPLE ASSAULT,0913 0400 0416,55,M,A,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,HOLLYWOOD,WESTERN,34.1018,-118.3093,1,16,Wednesday
14,10427,200507602,3/24/2020 0:00,2020-03-22,2000,5,Harbor,518,1,330,BURGLARY FROM VEHICLE,0321 0344 1202 1300,61,M,H,101.0,STREET,,,IC,Invest Cont,BROAD                        AV,PACIFIC COAST                HY,33.7921,-118.2617,1,20,Sunday
15,639196,221512606,7/21/2022 0:00,2022-07-19,1256,15,N Hollywood,1562,2,664,"BUNCO, PETTY THEFT",1822 1414 0800,50,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,12800    HORTENSE                     ST,,34.1549,-118.4116,1,12,Tuesday
16,647296,230811271,6/25/2023 0:00,2023-06-19,1900,8,West LA,899,1,510,VEHICLE - STOLEN,,35.01597097440407,,H,101.0,STREET,,,IC,Invest Cont,18TH                         ST,ROBERTSON                    BL,34.0329,-118.3832,1,19,Monday
17,162267,201909006,4/22/2020 0:00,2020-04-21,730,19,Mission,1966,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,30,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,9300    SYLMAR                       AV,,34.239,-118.446,1,7,Tuesday
18,183611,201311503,5/27/2020 0:00,2020-05-27,1400,13,Newton,1385,2,624,BATTERY - SIMPLE ASSAULT,0919 0605 0446 1309 0444,64,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,6200    AVALON                       BL,,33.9832,-118.2652,1,14,Wednesday
19,42863,200918935,12/29/2020 0:00,2020-12-22,1307,9,Van Nuys,911,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,56,F,B,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,7000    FIRMAMENT                    AV,,34.1975,-118.4727,1,13,Tuesday
20,740328,230615070,9/11/2023 0:00,2023-09-11,845,6,Hollywood,668,1,220,ATTEMPTED ROBBERY,1822 0400 0416 0411,56,F,H,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,SANTA MONICA,WESTERN,34.0908,-118.3092,2,8,Monday
21,971427,240109566,3/26/2024 0:00,2024-03-24,2200,1,Central,132,1,510,VEHICLE - STOLEN,,35.01597097440407,,H,101.0,STREET,,,IC,Invest Cont,200 S  GRAND                        AV,,34.0545,-118.2499,1,22,Sunday
22,468909,221610278,7/9/2022 0:00,2022-07-09,2320,16,Foothill,1656,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1402 0302 0416 2000 1814,27,F,H,301.0,GAS STATION,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,8500    FOOTHILL                     BL,,34.2597,-118.3179,3,23,Saturday
23,542572,220620526,12/23/2022 0:00,2022-12-23,900,6,Hollywood,645,1,210,ROBBERY,2028 0344 1402 0443 2004 0945,19.955337301587303,X,X,403.0,DRUG STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,7000    HOLLYWOOD                    BL,,34.1015,-118.3417,2,9,Friday
24,724841,231407374,3/22/2023 0:00,2023-03-21,2300,14,Pacific,1463,1,510,VEHICLE - STOLEN,,37.55386270419843,,H,108.0,PARKING LOT,,,IC,Invest Cont,5500    GROSVENOR                    BL,,33.9782,-118.422,1,23,Tuesday
25,941291,241112022,11/8/2024 0:00,2024-10-16,1830,11,Northeast,1124,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,35,F,B,504.0,OTHER RESIDENCE,,,IC,Invest Cont,3400    CHAPMAN                      ST,,34.1219,-118.2429,1,18,Wednesday
26,280977,210310428,5/18/2021 0:00,2021-04-17,1200,3,Southwest,315,2,354,THEFT OF IDENTITY,1822 0100,53,M,K,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,2200 S  GRAMERCY                     PL,,34.036,-118.3133,1,12,Saturday
27,706517,231109015,5/15/2023 0:00,2023-05-15,1430,11,Northeast,1136,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,37.55386270419843,,H,108.0,PARKING LOT,,,IC,Invest Cont,4000    EAGLE ROCK                   BL,,34.12,-118.2288,1,14,Monday
28,766851,231820721,12/12/2023 0:00,2023-12-11,1330,18,Southeast,1862,1,310,BURGLARY,1822 1601 1607 0344 0329,45,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,100 E  118TH                        PL,,33.9256,-118.2739,1,13,Monday
29,387306,210604728,1/20/2021 0:00,2021-01-20,1230,6,Hollywood,646,2,901,VIOLATION OF RESTRAINING ORDER,1501 0913 2038,20,F,W,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,1300 N  JUNE                         ST,,34.0944,-118.3342,1,12,Wednesday
30,646314,230514839,10/19/2023 0:00,2023-10-17,2305,5,Harbor,509,1,510,VEHICLE - STOLEN,,35.01597097440407,,H,101.0,STREET,,,IC,Invest Cont,1400    252ND                        ST,,33.8016,-118.3042,1,23,Tuesday
31,105975,201107529,3/20/2020 0:00,2020-03-19,1800,11,Northeast,1181,1,510,VEHICLE - STOLEN,,35.01597097440407,,H,101.0,STREET,,,IC,Invest Cont,1400 N  ALVARADO                     ST,,34.0806,-118.2616,1,18,Thursday
32,107430,200315047,7/31/2020 0:00,2020-07-31,1840,3,Southwest,326,2,901,VIOLATION OF RESTRAINING ORDER,2000 1813 2038 1309,52,F,W,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,2600    DALTON                       AV,,34.0327,-118.3041,1,18,Friday
33,849271,231310628,5/13/2023 0:00,2023-05-13,850,13,Newton,1322,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0450 0329 0302 0334 0906,51,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,600 E  23RD                         ST,,34.025,-118.2618,1,8,Saturday
34,996555,241405104,1/27/2024 0:00,2024-01-27,1215,14,Pacific,1431,2,624,BATTERY - SIMPLE ASSAULT,416,37,M,B,710.0,OTHER PREMISE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1300    ABBOT KINNEY                 BL,,33.9912,-118.4681,1,12,Saturday
35,730448,231906362,2/27/2023 0:00,2023-02-26,505,19,Mission,1915,1,310,BURGLARY,0344 1605,38.504301846346294,M,O,248.0,CELL PHONE STORE,,,IC,Invest Cont,12600    GLENOAKS                     BL,,34.3021,-118.4467,1,5,Sunday
36,412228,221408650,4/3/2022 0:00,2022-04-02,320,14,Pacific,1445,1,761,BRANDISH WEAPON,0334 0443 0913 0554 0360,30,M,B,501.0,SINGLE FAMILY DWELLING,207.0,OTHER KNIFE,AO,Adult Other,12500    VENICE                       BL,,34.0028,-118.4351,1,3,Saturday
37,769204,232016317,10/8/2023 0:00,2023-10-07,1800,20,Olympic,2099,1,510,VEHICLE - STOLEN,,35.01597097440407,,H,101.0,STREET,,,IC,Invest Cont,WESTMORELAND,WASHINGTON,34.0385,-118.2878,1,18,Saturday
38,370441,212014284,9/9/2021 0:00,2021-08-01,1530,20,Olympic,2035,2,354,THEFT OF IDENTITY,0100 0923 0926 0930 0929 1822,49,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,3300    WILSHIRE                     BL,,34.0618,-118.299,1,15,Sunday
39,995434,240911335,8/23/2024 0:00,2024-08-23,1200,9,Van Nuys,994,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822,64,M,W,101.0,STREET,,,IC,Invest Cont,13300    CHELTENHAM                   DR,,34.1393,-118.4229,1,12,Friday
40,494541,221108733,5/5/2022 0:00,2022-04-27,1500,11,Northeast,1112,1,310,BURGLARY,1607 0321,43,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,2500    HYLER                        AV,,34.1293,-118.2221,1,15,Wednesday
41,956047,240114753,7/16/2024 0:00,2024-07-16,2011,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344,22.522079245917475,X,X,404.0,DEPARTMENT STORE,,,IC,Invest Cont,700 S  FIGUEROA                     ST,,34.0483,-118.2631,1,20,Tuesday
42,75022,200911502,6/24/2020 0:00,2020-06-18,1200,9,Van Nuys,969,2,900,VIOLATION OF COURT ORDER,1501,30,F,O,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,12800    LA MAIDA                     ST,,34.1585,-118.412,1,12,Thursday
43,631310,220312011,6/8/2022 0:00,2022-06-08,800,3,Southwest,361,2,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,2038 2004 1202,66,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,5000    COLISEUM                     ST,,34.0183,-118.3536,1,8,Wednesday
44,377113,211819031,10/25/2021 0:00,2021-10-23,900,18,Southeast,1846,1,310,BURGLARY,1822 0344 0321 1601,28,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,1300 E  115TH                        ST,,33.9303,-118.2518,1,9,Saturday
45,353210,211511492,7/7/2021 0:00,2021-07-06,1800,15,N Hollywood,1529,1,330,BURGLARY FROM VEHICLE,1302 1609 1307 0344,40,M,B,101.0,STREET,,,IC,Invest Cont,10600    ERWIN                        ST,,34.1831,-118.3626,1,18,Tuesday
46,95000,200113699,6/21/2020 0:00,2020-06-20,1519,1,Central,147,1,110,CRIMINAL HOMICIDE,0906 1100 0913 1218 0416 2004 0430 0907,44,M,B,109.0,PARK/PLAYGROUND,102.0,HAND GUN,AA,Adult Arrest,300 E  5TH                          ST,,34.0453,-118.2443,1,15,Saturday
47,389095,210910813,6/17/2021 0:00,2021-06-16,2000,9,Van Nuys,915,1,330,BURGLARY FROM VEHICLE,0344 1822 1609,25,M,H,108.0,PARKING LOT,,,IC,Invest Cont,14200    VANOWEN                      ST,,34.1976,-118.4443,1,20,Wednesday
48,219498,211109851,6/18/2021 0:00,2021-06-18,2330,11,Northeast,1171,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1212 0448 0447 1402,36.788217828750895,M,O,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,3200    HAMILTON                     WY,,34.0859,-118.2741,2,23,Friday
49,905418,240121754,8/28/2024 0:00,2024-08-24,1400,1,Central,161,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),344,29,F,B,707.0,GARAGE/CARPORT,,,IC,Invest Cont,900 W  7TH                          ST,,34.0494,-118.2599,1,14,Saturday
50,708521,230509191,5/24/2023 0:00,2023-05-23,1046,5,Harbor,524,2,901,VIOLATION OF RESTRAINING ORDER,0913 2038,36,F,B,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,1200    ALTON                        ST,,33.777,-118.2766,1,10,Tuesday
51,539267,220216723,9/14/2022 0:00,2022-09-14,1810,2,Rampart,235,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1817 2034 0447 0416 1206,54,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",212.0,BOTTLE,AA,Adult Arrest,200 N  PARK VIEW                    ST,,34.0697,-118.273,1,18,Wednesday
52,747992,230310522,5/7/2023 0:00,2023-05-07,2000,3,Southwest,337,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0446 0913 0416 0447 0429 0554 0602,26,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1500 W  30TH                         ST,,34.0273,-118.297,1,20,Sunday
53,524014,221213783,6/14/2022 0:00,2022-05-14,1000,12,77th Street,1243,1,510,VEHICLE - STOLEN,,35.01597097440407,,H,101.0,STREET,,,IC,Invest Cont,6500 S  WESTERN                      AV,,33.9806,-118.309,1,10,Saturday
54,403565,211715086,11/15/2021 0:00,2021-11-12,1530,17,Devonshire,1795,1,310,BURGLARY,0344 0321 1501,20.501612554112555,X,X,720.0,JUNIOR HIGH SCHOOL,,,IC,Invest Cont,17900    CHASE                        ST,,34.2246,-118.5246,1,15,Friday
55,848776,231107025,3/22/2023 0:00,2023-03-21,1445,11,Northeast,1125,1,210,ROBBERY,0344 0416 1218,46,M,A,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,AVENUE 52,YORK                         BL,34.1222,-118.2114,1,14,Tuesday
56,754119,230910065,5/31/2023 0:00,2023-05-31,1930,9,Van Nuys,909,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0429 2000 1241 0305 0408,53,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,7300    WOODMAN                      AV,,34.2031,-118.4313,1,19,Wednesday
57,329608,210320556,12/22/2021 0:00,2021-12-22,1820,3,Southwest,375,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0913 0361 0603 0319 0432,40,M,B,104.0,DRIVEWAY,511.0,VERBAL THREAT,AO,Adult Other,1900 W  MARTIN LUTHER KING JR        BL,,34.0146,-118.313,1,18,Wednesday
58,826981,230121211,10/5/2023 0:00,2023-10-05,345,1,Central,124,1,220,ATTEMPTED ROBBERY,0400 0416 0355 1822 1218,61,M,O,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2ND                          ST,LOS ANGELES,34.0503,-118.2434,1,3,Thursday
59,409556,212007550,3/31/2021 0:00,2021-03-30,1000,20,Olympic,2029,2,662,"BUNCO, GRAND THEFT",0701 0800 1822,49,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,3100 W  6TH                          ST,,34.0637,-118.289,1,10,Tuesday
60,435915,220106692,2/15/2022 0:00,2022-02-14,1700,1,Central,162,2,624,BATTERY - SIMPLE ASSAULT,0416 0400,34,M,B,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,700 W  7TH                          ST,,34.048,-118.2577,1,17,Monday
61,920302,242012564,10/15/2024 0:00,2024-10-15,1915,20,Olympic,2024,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 0377,31,M,O,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,3600    WILSHIRE                     BL,,34.0636,-118.3047,1,19,Tuesday
62,223643,211014514,11/12/2021 0:00,2021-11-12,1950,10,West Valley,1088,1,320,"BURGLARY, ATTEMPTED",1822 1609 1414 0389,76,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,16100    DICKENS                      ST,,34.1532,-118.4983,1,19,Friday
63,272672,210114491,8/2/2021 0:00,2021-07-30,2100,1,Central,135,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0444,67,F,H,516.0,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,6TH,SAN PEDRO,34.0495,-118.2458,1,21,Friday
64,727817,231909151,5/12/2023 0:00,2023-05-06,905,19,Mission,1916,2,354,THEFT OF IDENTITY,930,39,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,12800    SPROULE                      AV,,34.3038,-118.4337,1,9,Saturday
65,324626,211115838,11/28/2021 0:00,2021-11-28,820,11,Northeast,1125,1,110,CRIMINAL HOMICIDE,0416 0913 0411 0602,66,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",215.0,MACHETE,AA,Adult Arrest,4600    YORK                         BL,,34.1231,-118.2156,1,8,Sunday
66,973882,240304247,1/4/2024 0:00,2024-01-03,2035,3,Southwest,376,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 0311,23,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,1400 W  39TH                         ST,,34.0155,-118.3034,1,20,Wednesday
67,566767,220414535,10/21/2022 0:00,2022-10-21,1040,4,Hollenbeck,467,1,761,BRANDISH WEAPON,0334 0913 0554,27,F,H,102.0,SIDEWALK,204.0,FOLDING KNIFE,AO,Adult Other,2700 E  2ND                          ST,,34.0405,-118.207,1,10,Friday
68,471038,230604310,1/8/2023 0:00,2022-11-23,1700,6,Hollywood,677,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,35.01597097440407,,H,101.0,STREET,,,IC,Invest Cont,GOWER,ROMAINE,34.0889,-118.3223,1,17,Wednesday
69,926269,241708757,4/25/2024 0:00,2024-04-24,1500,17,Devonshire,1737,1,330,BURGLARY FROM VEHICLE,0344 1609 0329,52,F,O,108.0,PARKING LOT,,,IC,Invest Cont,16900    SAN FERNANDO MISSION         BL,,34.2721,-118.5004,1,15,Wednesday
70,699679,230816132,10/26/2023 0:00,2023-10-26,1600,8,West LA,882,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0397,18,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,11300 W  PICO                         BL,,34.038,-118.4436,2,16,Thursday
71,141227,201409705,4/17/2020 0:00,2020-04-17,230,14,Pacific,1444,1,310,BURGLARY,1601 0400 0344,19.74585714285714,X,X,401.0,MINI-MART,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,4000    LINCOLN                      BL,,33.9905,-118.4478,1,2,Friday
72,755576,230127434,12/29/2023 0:00,2023-12-29,920,1,Central,142,1,330,BURGLARY FROM VEHICLE,0329 1307 0344,40,F,F,707.0,GARAGE/CARPORT,,,IC,Invest Cont,400 W  5TH                          ST,,34.0519,-118.2531,1,9,Friday
73,321608,210606315,2/25/2021 0:00,2021-02-21,1820,6,Hollywood,635,1,330,BURGLARY FROM VEHICLE,0344 1300 1606,34,M,H,108.0,PARKING LOT,,,IC,Invest Cont,2100 N  CAHUENGA                     BL,,34.1079,-118.3337,1,18,Sunday
74,63240,201218718,8/17/2020 0:00,2020-08-17,1420,12,77th Street,1213,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,43,M,H,108.0,PARKING LOT,,,IC,Invest Cont,SLAUSON                      AV,RUTHELEN                     ST,33.9891,-118.3126,1,14,Monday
75,441000,220504230,1/8/2022 0:00,2022-01-06,1200,5,Harbor,564,1,510,VEHICLE - STOLEN,,35.01597097440407,,H,101.0,STREET,,,IC,Invest Cont,CENTRE,1ST                          ST,33.7433,-118.2835,1,12,Thursday
76,262809,210714940,10/30/2021 0:00,2021-10-30,2155,7,Wilshire,778,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,20.501612554112555,X,X,111.0,BUS-CHARTER/PRIVATE,,,IC,Invest Cont,4100 W  WASHINGTON                   BL,,34.0418,-118.3269,1,21,Saturday
77,463651,220907755,4/8/2022 0:00,2022-04-08,1930,9,Van Nuys,933,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,52,M,W,101.0,STREET,,,IC,Invest Cont,14800    CALVERT                      ST,,34.1817,-118.4553,1,19,Friday
78,655330,231224930,12/15/2023 0:00,2023-12-14,830,12,77th Street,1249,1,510,VEHICLE - STOLEN,,35.01597097440407,,H,101.0,STREET,,,IC,Invest Cont,500 W  GAGE                         AV,,33.9824,-118.2827,1,8,Thursday
79,695368,231107022,3/21/2023 0:00,2023-03-21,1500,11,Northeast,1125,1,510,VEHICLE - STOLEN,,35.01597097440407,,H,101.0,STREET,,,IC,Invest Cont,1500    TONAWANDA                    AV,,34.1235,-118.2172,1,15,Tuesday
80,990722,240908760,5/5/2024 0:00,2024-05-04,2045,9,Van Nuys,901,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0418 0444 1813 2000,45,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,7300 N  SEPULVEDA                    BL,,34.2085,-118.4698,1,20,Saturday
81,763496,230913165,8/20/2023 0:00,2023-08-19,1400,9,Van Nuys,969,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,35.01597097440407,,H,101.0,STREET,,,IC,Invest Cont,COLDWATER                    AV,RIVERSIDE,34.1576,-118.4138,1,14,Saturday
82,237641,211111701,8/9/2021 0:00,2021-08-09,130,11,Northeast,1124,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1402 1822 1407,20.291375000000002,X,X,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,3100    WELDON                       AV,,34.1205,-118.2387,2,1,Monday
83,645969,230316749,9/16/2023 0:00,2023-09-16,2315,3,Southwest,361,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0305 0416 0417 0429 0444 0446 0913 2034,40,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,3900    GIBRALTAR                    AV,,34.0161,-118.3547,1,23,Saturday
84,737297,231708383,4/19/2023 0:00,2023-04-19,45,17,Devonshire,1766,1,310,BURGLARY,0216 1606 0344 0314,49,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,9600    SYLVIA                       AV,,34.2446,-118.5519,1,0,Wednesday
85,527206,231614729,12/6/2023 0:00,2022-05-01,600,16,Foothill,1638,2,946,OTHER MISCELLANEOUS CRIME,2024 1259 0913 0500 0514 1814,14,M,H,721.0,HIGH SCHOOL,,,JO,Juv Other,10600    PLAINVIEW                    AV,,34.2606,-118.2979,1,6,Sunday
86,35682,200207671,3/12/2020 0:00,2020-01-01,1500,2,Rampart,246,2,624,BATTERY - SIMPLE ASSAULT,0342 0416 0400 1810 0913,47,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1900 W  3RD                          ST,,34.0619,-118.2702,1,15,Wednesday
87,678909,231704686,1/12/2023 0:00,2023-01-12,1345,17,Devonshire,1721,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1606,33,M,H,101.0,STREET,,,IC,Invest Cont,21100    NASHVILLE                    ST,,34.269,-118.5929,1,13,Thursday
